Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

LED2_Col11 0805_A                5140mil       2600mil       5140mil       2600mil       5140mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col12 0805_A                5340mil       2600mil       5340mil       2600mil       5340mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col13 0805_A                5540mil       2600mil       5540mil       2600mil       5540mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col14 0805_A                5740mil       2600mil       5740mil       2600mil       5740mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col15 0805_A                5940mil       2600mil       5940mil       2600mil       5940mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col16 0805_A                6140mil       2600mil       6140mil       2600mil       6140mil   2641.339mil  T        270.00 150080GS75000  
LED3_Col1  0805_A                1860mil       2400mil       1860mil       2400mil       1860mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col2  0805_A                2060mil       2400mil       2060mil       2400mil       2060mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col3  0805_A                2260mil       2400mil       2260mil       2400mil       2260mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col4  0805_A                2460mil       2400mil       2460mil       2400mil       2460mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col5  0805_A                2660mil       2400mil       2660mil       2400mil       2660mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col6  0805_A                2860mil       2400mil       2860mil       2400mil       2860mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col7  0805_A                3060mil       2400mil       3060mil       2400mil       3060mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col8  0805_A                3260mil       2400mil       3260mil       2400mil       3260mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col9  0805_A                4740mil       2400mil       4740mil       2400mil       4740mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col10 0805_A                4940mil       2400mil       4940mil       2400mil       4940mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col11 0805_A                5140mil       2400mil       5140mil       2400mil       5140mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col12 0805_A                5340mil       2400mil       5340mil       2400mil       5340mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col13 0805_A                5540mil       2400mil       5540mil       2400mil       5540mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col14 0805_A                5740mil       2400mil       5740mil       2400mil       5740mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col15 0805_A                5940mil       2400mil       5940mil       2400mil       5940mil   2441.339mil  T        270.00 150080GS75000  
LED3_Col16 0805_A                6140mil       2400mil       6140mil       2400mil       6140mil   2441.339mil  T        270.00 150080GS75000  
LED4_Col1  0805_A                1860mil       2200mil       1860mil       2200mil       1860mil   2241.339mil  T        270.00 150080GS75000  
LED4_Col2  0805_A                2060mil       2200mil       2060mil       2200mil       2060mil   2241.339mil  T        270.00 150080GS75000  
